Name,Google Map,Type,Station,PropertyGuru
The Estate Bangsar South,https://maps.app.goo.gl/kxxLvUNZNnRZMZUr9,Condominium,LRT KL Gateway - Universiti,
The Park Residences Bangsar South,https://maps.app.goo.gl/uQrd4AcJCtz3xwtJ6,Condominium,LRT KL Gateway - Universiti,
Pantai Panorama Condominium,https://maps.app.goo.gl/RVzgmg2V5uEijrXa6,Condominium,LRT KL Gateway - Universiti,
Camellia Serviced Suites,,Service Apartment,"LRT KL Gateway - Universiti, LRT Kerinchi",
South View Serviced Apartments,,Service Apartment,"LRT KL Gateway - Universiti, LRT Kerinchi",
SouthLink Lifestyle Apartments,,Service Apartment,"LRT KL Gateway - Universiti, LRT Kerinchi",
Novum @ Bangsar South,,Service Apartment,LRT Kerinchi,
Fajar Ria Condo,,Condominium,LRT Kerinchi,
Regency Suites,,Service Apartment,LRT Kerinchi,
KL Eco City Vogue Suites 1,,Apartment,LRT Abdulah Hukum,
KL Eco City Vogue Suites 2,,Condominium,LRT Abdulah Hukum,
ViiA Residences,,Service Apartment,LRT Abdulah Hukum,
Nadi Bangsar Serviced Residence,,Service Apartment,LRT Bangsar,
Bangsar Permai,,Condominium,LRT Bangsar,
Gaya Bangsar Condominium,,Condominium,LRT Bangsar,
Mutiara Residency,,Condominium,LRT Bangsar,
Sri Impian Condominium,,Condominium,LRT Bangsar,
Menara Pelangi,,Condominium,LRT Bangsar,
Apartment Cuepacs,,Apartment,LRT Bangsar,
Crescent Court Condo,,Condominium,LRT Bangsar,
Bangsar Hill Park,,Condominium,LRT Bangsar,
Sri Bangsar Apartment,,Condominium,LRT Bangsar,
